dimension,manual_label,community,community_size,community_type,include_in_user_profiles,manual_meaningfulness,manual_notes,n_games_assigned,total_user_owned_edges,mean_user_share,users_with_any
bgg_golden_age_canon,BGG Golden Age canon,10,338.0,temporal_canon,yes,high,"Classic hobby canon centered on Puerto Rico, Power Grid, Agricola, El Grande, Ra, and Tigris & Euphrates; strongest internal closure in the midline graph.",338,78045,0.112033166,4810
amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,9,251.0,taste_specialist,yes,high,"Thematic conflict, miniatures, variable powers, dice, and collectible/card-system signal.",251,54618,0.09825714,4817
dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,12,231.0,taste_specialist,yes,high,"Modern cooperative/campaign adventure cluster around Gloomhaven, Spirit Island, Arkham Horror LCG, Nemesis, and related games.",231,51154,0.08751315,4572
current_heavy_euro_engine_builders,Current heavy euro engine builders,2,207.0,taste_specialist,yes,high,"Modern heavy euros with strong worker-placement, income, variable setup, and industry/manufacturing signal.",207,63778,0.08902689,4349
historical_wargames_conflict_strategy,Historical wargames + conflict strategy,20,198.0,taste_specialist,yes,high,"Most self-contained specialist group after the Golden Age canon; strong wargame, simulation, CDG, CRT, political, and historical signal.",198,35913,0.060075622,3895
party_family_social_deduction,Party / family / social deduction,25,177.0,taste_cross_over,yes,high,"Party, hidden roles, deduction, children's/family, memory, and real-time signal; broad cross-community appeal.",177,48065,0.07574011,4761
puzzle_nature_tableau_builders,Puzzle / nature tableau builders,13,168.0,taste_cross_over,yes,high,"Cascadia/Wingspan-adjacent puzzle, pattern-building, animal/nature, set-collection cluster with broad appeal.",168,41560,0.05853059,4275
medium_worker_placement_euros,Medium worker-placement euros,8,166.0,taste_specialist,yes,high,"Rosenberg-era and medium-heavy eurogames around Great Western Trail, Terra Mystica, Orleans, Caverna, Tzolk'in, and Le Havre.",166,46075,0.06005536,4251
cooperative_trick_taking_deduction,Cooperative trick-taking + deduction,35,100.0,taste_cross_over,yes,high,"The Crew, Decrypto, The Mind, Search for Planet X, Blood on the Clocktower, Crokinole, and adjacent social/deduction titles.",100,28212,0.042733777,4257
roll_and_write_number_dice_games,Roll-and-write / number dice games,17,39.0,taste_cross_over,yes,medium,"That's Pretty Clever, Qwixx, Taverns of Tiefenthal, Port Royal, and dice/number/paper-and-pencil signal.",39,10668,0.014752291,3070
legacy_narrative_mystery,Legacy + narrative mystery,4,37.0,shared_culture,yes,high,"Pandemic Legacy, EXIT/Unlock-style mystery, and narrative/legacy signal; coherent but cross-community.",37,9580,0.014840029,3067
other,Other / excluded / review communities,-1,,other,yes,mixed,Catch-all for communities marked no/review/tiny/franchise/temporal artifact/bridge unless explicitly included.,588,172213,0.28644297,5383
